idx	grupo	replica	R1	R2
Ch14_1_CKDL220004210-1a	Ch14	Ch14_1	/Users/rjegr/Documents/GitHub/Microplastic-transcriptomics/Ch14_1_CKDL220004210-1a-1_HHJWNBBXX_L7_1.fq.gz	/Users/rjegr/Documents/GitHub/Microplastic-transcriptomics/Ch14_1_CKDL220004210-1a-1_HHJWNBBXX_L7_2.fq.gz
Ch14_2_CKDL220004210-1a	Ch14	Ch14_2	/Users/rjegr/Documents/GitHub/Microplastic-transcriptomics/Ch14_2_CKDL220004210-1a-3_HHJWNBBXX_L7_1.fq.gz	/Users/rjegr/Documents/GitHub/Microplastic-transcriptomics/Ch14_2_CKDL220004210-1a-3_HHJWNBBXX_L7_2.fq.gz
Ch14_3_CKDL220004210-1a	Ch14	Ch14_3	/Users/rjegr/Documents/GitHub/Microplastic-transcriptomics/Ch14_3_CKDL220004210-1a-8_HHJWNBBXX_L7_1.fq.gz	/Users/rjegr/Documents/GitHub/Microplastic-transcriptomics/Ch14_3_CKDL220004210-1a-8_HHJWNBBXX_L7_2.fq.gz
EP08_1_CKDL220004210-1a	EP08	EP08_1	/Users/rjegr/Documents/GitHub/Microplastic-transcriptomics/EP08_1_CKDL220004210-1a-9_HHJWNBBXX_L7_1.fq.gz	/Users/rjegr/Documents/GitHub/Microplastic-transcriptomics/EP08_1_CKDL220004210-1a-9_HHJWNBBXX_L7_2.fq.gz
EP08_2_CKDL220004210-1a	EP08	EP08_2	/Users/rjegr/Documents/GitHub/Microplastic-transcriptomics/EP08_2_CKDL220004210-1a-10_HHJWNBBXX_L7_1.fq.gz	/Users/rjegr/Documents/GitHub/Microplastic-transcriptomics/EP08_2_CKDL220004210-1a-10_HHJWNBBXX_L7_2.fq.gz
EP08_3_CKDL220004210-1a	EP08	EP08_3	/Users/rjegr/Documents/GitHub/Microplastic-transcriptomics/EP08_3_CKDL220004210-1a-11_HHJWNBBXX_L7_1.fq.gz	/Users/rjegr/Documents/GitHub/Microplastic-transcriptomics/EP08_3_CKDL220004210-1a-11_HHJWNBBXX_L7_2.fq.gz
SES1_CKDL240032656-1A	SES	SES1	/Users/rjegr/Documents/GitHub/Microplastic-transcriptomics/SES1_CKDL240032656-1A_22TJGFLT3_L5_1.fq.gz	/Users/rjegr/Documents/GitHub/Microplastic-transcriptomics/SES1_CKDL240032656-1A_22TJGFLT3_L5_2.fq.gz
SES2_CKDL240032656-1A	SES	SES2	/Users/rjegr/Documents/GitHub/Microplastic-transcriptomics/SES2_CKDL240032656-1A_22TJGFLT3_L5_1.fq.gz	/Users/rjegr/Documents/GitHub/Microplastic-transcriptomics/SES2_CKDL240032656-1A_22TJGFLT3_L5_2.fq.gz
SES3_CKDL240032656-1A	SES	SES3	/Users/rjegr/Documents/GitHub/Microplastic-transcriptomics/SES3_CKDL240032656-1A_22TJGFLT3_L5_1.fq.gz	/Users/rjegr/Documents/GitHub/Microplastic-transcriptomics/SES3_CKDL240032656-1A_22TJGFLT3_L5_2.fq.gz
Se17_1_CKDL220004210-1a	Se17	Se17_1	/Users/rjegr/Documents/GitHub/Microplastic-transcriptomics/Se17_1_CKDL220004210-1a-22_HHJWNBBXX_L7_1.fq.gz	/Users/rjegr/Documents/GitHub/Microplastic-transcriptomics/Se17_1_CKDL220004210-1a-22_HHJWNBBXX_L7_2.fq.gz
Se17_2_CKDL220004210-1a	Se17	Se17_2	/Users/rjegr/Documents/GitHub/Microplastic-transcriptomics/Se17_2_CKDL220004210-1a-23_HHJWNBBXX_L7_1.fq.gz	/Users/rjegr/Documents/GitHub/Microplastic-transcriptomics/Se17_2_CKDL220004210-1a-23_HHJWNBBXX_L7_2.fq.gz
Se17_3_CKDL220004210-1a	Se17	Se17_3	/Users/rjegr/Documents/GitHub/Microplastic-transcriptomics/Se17_3_CKDL220004210-1a-25_HHJWNBBXX_L7_1.fq.gz	/Users/rjegr/Documents/GitHub/Microplastic-transcriptomics/Se17_3_CKDL220004210-1a-25_HHJWNBBXX_L7_2.fq.gz
